dry_run_order,source_row_no,dry_run_decision,name,alias_name,url,normalized_url,source_level,province,city,track,platform_type,is_official,enabled,validation_status,import_confidence,confidence_flags,same_province_track_count,same_province_track_names,exact_name_match_count,exact_name_match_id,exact_name_match_name,exact_name_match_url,notes,manual_check_reason
17,51,same_name_review,福建省政府采购网,,https://zfcg.czt.fujian.gov.cn/,https://zfcg.czt.fujian.gov.cn/,地方省市,福建,,政府采购,政府采购,1,1,never_validated,high,,1,福建省政府采购网 | http://www.ccgp-fujian.gov.cn,1,58,福建省政府采购网,http://www.ccgp-fujian.gov.cn,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 政府采购；现有同省同轨记录: 福建省政府采购网,现有库已存在同名记录，需先判断是 URL 更新还是并行新源
18,53,create_candidate,江西省公共资源交易服务平台,,https://www.jxsggzy.cn/,https://www.jxsggzy.cn/,地方省市,江西,,公共资源交易,公共资源交易,1,1,never_validated,high,,1,江西省公共资源交易平台 | http://www.jxsggzy.cn/web,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 公共资源交易；现有同省同轨记录: 江西省公共资源交易平台,
19,57,create_candidate,山东政府采购网,,http://www.ccgp-shandong.gov.cn/sdgp2017/site/index.jsp,http://www.ccgp-shandong.gov.cn/sdgp2017/site/index.jsp,地方省市,山东,,政府采购,政府采购,1,1,never_validated,medium,deep_path / entry_file,1,山东省政府采购网 | http://www.ccgp-shandong.gov.cn,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 政府采购；现有同省同轨记录: 山东省政府采购网,deep_path / entry_file
20,59,same_name_review,河南省公共资源交易中心,,https://hnsggzyfwpt.hndrc.gov.cn/,https://hnsggzyfwpt.hndrc.gov.cn/,地方省市,河南,,公共资源交易,公共资源交易,1,1,never_validated,high,name_contains_center,1,河南省公共资源交易中心 | http://hnsggzyjy.henan.gov.cn,1,45,河南省公共资源交易中心,http://hnsggzyjy.henan.gov.cn,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 公共资源交易；现有同省同轨记录: 河南省公共资源交易中心,现有库已存在同名记录，需先判断是 URL 更新还是并行新源
21,62,create_candidate,湖北公共资源交易中心,,https://www.hbggzyfwpt.cn/,https://www.hbggzyfwpt.cn/,地方省市,湖北,,公共资源交易,公共资源交易,1,1,never_validated,high,name_contains_center,1,湖北省公共资源交易电子服务系统 | https://www.hbggzy.gov.cn,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 公共资源交易；现有同省同轨记录: 湖北省公共资源交易电子服务系统,
22,68,create_candidate,广东公共资源交易服务平台,,https://ygp.gdzwfw.gov.cn/,https://ygp.gdzwfw.gov.cn/,地方省市,广东,,公共资源交易,公共资源交易,1,1,never_validated,high,,2,广东省公共资源交易平台 | http://bs.gdggzy.org.cn/osh-web || 深圳公共资源交易网 | https://ww.szggzy.com,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 公共资源交易；现有同省同轨记录: 广东省公共资源交易平台、深圳公共资源交易网,
23,73,create_candidate,海南政府采购网,,https://ccgp-hainan.gov.cn/,https://ccgp-hainan.gov.cn/,地方省市,海南,,政府采购,政府采购,1,1,never_validated,high,,1,中国海南政府采购网 | http://www.ccgp-hainan.gov.cn,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 政府采购；现有同省同轨记录: 中国海南政府采购网,
24,77,create_candidate,四川公共资源交易服务平台,,https://ggzyjy.sc.gov.cn/,https://ggzyjy.sc.gov.cn/,地方省市,四川,,公共资源交易,公共资源交易,1,1,never_validated,high,,1,全国公共资源交易平台（四川省） | http://www.scggzy.gov.cn,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 公共资源交易；现有同省同轨记录: 全国公共资源交易平台（四川省）,
25,80,create_candidate,贵州政府采购网,,http://www.ccgp-guizhou.gov.cn/,http://www.ccgp-guizhou.gov.cn/,地方省市,贵州,,政府采购,政府采购,1,1,never_validated,high,,1,贵州省政府采购网 | https://gzgp.zbytb.com,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 政府采购；现有同省同轨记录: 贵州省政府采购网,
26,82,create_candidate,云南公共资源交易服务平台,,https://ggzy.yn.gov.cn/homePage,https://ggzy.yn.gov.cn/homePage,地方省市,云南,,公共资源交易,公共资源交易,1,1,never_validated,medium,entry_file,1,云南省公共资源交易信息网 | http://ggzy.yn.gov.cn,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 公共资源交易；现有同省同轨记录: 云南省公共资源交易信息网,entry_file
27,83,create_candidate,云南政府采购网,,http://www.yngp.com/,http://www.yngp.com/,地方省市,云南,,政府采购,政府采购,1,1,never_validated,high,,1,云南省政府采购网 | http://www.ccgp-yunnan.gov.cn,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 政府采购；现有同省同轨记录: 云南省政府采购网,
28,86,create_candidate,陕西省政府采购网,,http://www.ccgp-shaanxi.gov.cn/cms-sx/site/shanxi/index.html,http://www.ccgp-shaanxi.gov.cn/cms-sx/site/shanxi/index.html,地方省市,陕西,,政府采购,政府采购,1,1,never_validated,medium,deep_path / entry_file,1,陕西政府采购网 | http://www.ccgp-shaanxi.gov.cn,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 政府采购；现有同省同轨记录: 陕西政府采购网,deep_path / entry_file
29,91,create_candidate,青海公共资源交易网,,http://www.qhggzyjy.gov.cn/ggzy/,http://www.qhggzyjy.gov.cn/ggzy/,地方省市,青海,,公共资源交易,公共资源交易,1,1,never_validated,high,,1,青海省公共资源交易网 | https://www.qhggzyjy.gov.cn,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 公共资源交易；现有同省同轨记录: 青海省公共资源交易网,
30,94,create_candidate,西藏公共资源交易服务平台,,https://ggzy.xizang.gov.cn/,https://ggzy.xizang.gov.cn/,地方省市,西藏,,公共资源交易,公共资源交易,1,1,never_validated,high,,1,西藏自治区公共资源交易信息网 | http://xzggzy.gov.cn:9090,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 公共资源交易；现有同省同轨记录: 西藏自治区公共资源交易信息网,
31,97,create_candidate,内蒙古公共资源交易网,,https://ggzyjy.nmg.gov.cn/,https://ggzyjy.nmg.gov.cn/,地方省市,内蒙古,,公共资源交易,公共资源交易,1,1,never_validated,high,,1,内蒙古招标投标公共服务平台 | https://zbgg.nmgztb.com.cn,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 公共资源交易；现有同省同轨记录: 内蒙古招标投标公共服务平台,
32,100,create_candidate,广西公共资源交易服务平台,,http://ggzy.jgswj.gxzf.gov.cn/gxggzy/,http://ggzy.jgswj.gxzf.gov.cn/gxggzy/,地方省市,广西,,公共资源交易,公共资源交易,1,1,never_validated,high,,1,广西壮族自治区公共资源交易中心 | http://ggzyjy.gxzf.gov.cn,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 公共资源交易；现有同省同轨记录: 广西壮族自治区公共资源交易中心,
33,101,same_name_review,广西政府采购网,,http://zfcg.gxzf.gov.cn/,http://zfcg.gxzf.gov.cn/,地方省市,广西,,政府采购,政府采购,1,1,never_validated,high,,1,广西政府采购网 | http://www.ccgp-guangxi.gov.cn,1,36,广西政府采购网,http://www.ccgp-guangxi.gov.cn,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 政府采购；现有同省同轨记录: 广西政府采购网,现有库已存在同名记录，需先判断是 URL 更新还是并行新源
34,103,create_candidate,宁夏公共资源交易网,,https://ggzyjy.fzggw.nx.gov.cn/,https://ggzyjy.fzggw.nx.gov.cn/,地方省市,宁夏,,公共资源交易,公共资源交易,1,1,never_validated,high,,1,宁夏回族自治区公共资源交易网 | http://www.nxggzyjy.org,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 公共资源交易；现有同省同轨记录: 宁夏回族自治区公共资源交易网,
35,104,create_candidate,宁夏政府采购网,,https://www.ccgp-ningxia.gov.cn/public/NXGPPNEW/dynamic/index.jsp?id=1,https://www.ccgp-ningxia.gov.cn/public/NXGPPNEW/dynamic/index.jsp?id=1,地方省市,宁夏,,政府采购,政府采购,1,1,never_validated,medium,has_query / deep_path / entry_file,1,宁夏回族自治区政府采购网 | http://www.ccgp-ningxia.gov.cn,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 政府采购；现有同省同轨记录: 宁夏回族自治区政府采购网,has_query / deep_path / entry_file
